"serial","儲存日期","序號","主旨","提問日期","答覆內容"
"1","0000-00-00 00:00:00","22911","在網路上我們只查閱到《中國圖書分類法》增訂及修訂兩種版本的分類號，請問何處可檢獲分類表全部的類號？煩請告知，謝謝！","2010-01-01","有關《中國圖書分類法》增訂及修訂兩種版本全部的資料，本館已公布於【國家圖書館編目園地全球資訊網（http://catweb.ncl.edu.tw/）】上，該二種資料分刊載於【中文編目規範標準／增訂中國圖書分類法】，及【中文編目規範標準／中國圖書分類法新增類目及類號】項下，請檢閱利用。"
"2","0000-00-00 00:00:00","22912","原為一種資料類型的文獻，後來改為另一種資料類型，例如從“圖書類型”改為“期刊類型”，對於已入藏同一種文獻是否需改變“館藏地”註記？換言之，即針對具有兩種類型的同一文獻，應採集中典藏方式，還是採分散典藏方式？例如《全民健康保險統計動向》民國92年出版時，原為圖書型態，94年改為連續出版品型態，發行“2003年版”。請問為求典藏及出納方便起見，可否將之前版本與今後版本集中典藏方式，或者另採分散典藏方式？敬請賜教，謝謝！","2010-01-01","1 原為一種資料類型的文獻，後來改為另一種資料類型，例如從“圖書類型”改為“期刊類型”，對於已入藏同一種文獻是否需改變“館藏地”註記？換言之，即針對具有兩種類型的同一文獻，應採集中典藏方式，還是採分散典藏方式？僅就個人淺見，略陳如下： 2 為管理上（主要是典藏及出納）方便起見，通常會採集中典藏方式，將同一題名但後改發行為另一種資料類型的文獻集中一處，此時自需改變“館藏地”註記，以反映實際情況。 3 將原著錄之書目記錄或目錄款目刪除，同時將有關之附註文字，改著錄於新的或另一筆書目記錄（或目錄款目），例如著錄為“原以圖書型態發行，自 xx 年起改為連續型出版品型態”。 4 以 臺端所提《全民健康保險統計動向》為例，《動向》一刊民國92年出版時原為圖書型態，94年改為連續出版品型態，發行“2003年版”。如 貴館已入藏圖書型態之《動向》，並編有書目記錄，後來又入藏連續出版品型態之《動向》，為求典藏及出納管理方便起見，建議 貴館可另建一筆新的書目記錄，註明該刊先前發行狀況，同時將原來之書目記錄刪除，唯將原書目中之館藏記錄及館藏註記移至新的書目記錄，以畢其功於一役。"
"3","0000-00-00 00:00:00","22913","目前《中國編目規則 第三版》和《中文主題詞表 2005年修訂版》兩種編目規範工具都已出版了，可否像之前規範工具的版本一樣，將其內容公布於“國家圖書館編目園地”網頁上，以便線上檢閱？","2010-01-01","《中國編目規則 第三版》，係中華民國圖書館學會編印出版，發售本，定價為NT$300。因此，本館無法公布上網，以便線上檢閱。 《中文主題詞表 2005年修訂版》，係國家圖書館編印出版，定價NT$500。本詞表已建有PDF檔，至於是否公布上網，目前尚在規劃中。"
"4","0000-00-00 00:00:00","22914","編目外包時，由於外包公司人員異動頻仍，以至增高錯誤率，並影響編目品質。圖書館在訂定契約書之際，應如何訂定有關控管編目品質的條文，譬如如何罰款以約束廠商，減少金錢的損失，並降低機關審校人力的耗損，俾便新書能即時上架，提供民眾借閱？","2010-01-01","針對本提問，擬提出建議條款如下，用供 臺端卓參。惟下述建議條款中如有涉及數據部分，概係“示例”敘述，並非“定量”敘述，請 貴館斟酌自身需求及條件然後訂定之，勿拘泥以下之數據，並認為不可加以調整。 1 訂定編目成品錯誤率認定標準（或文獻編目品質檢查標準）、抽查方法、罰則及改進辦法，作為編目品質檢查的依據。 2 編目成品錯誤之認定標的，主要以著錄項目（或機讀編目格式欄位）、書目資料及其他有關作業內容為主。範圍涉及記述編目、主題編目、權威控制、權威紀錄、機讀編目格式、書目整檔、目錄組織、資料加工、資料整併等作業及其所產生之書目與卡片、書標等。 3 編目成品之錯誤，主要包括建檔時字符鍵入錯誤（包括錯字、別字、脫字、衍字、字碼選錯等），編目作業著錄、標引的錯誤，以及與編目相關作業之錯誤而言。後二者錯誤之具體內容，包括記述編目錯誤（內容項目缺漏，欄位或分欄輸入錯誤，以及著者號、館藏區別號、年代部冊號、複本號錯誤等）、主題編目錯誤（分類號、標題或主題錯誤）、權威控制錯誤、權威紀錄錯誤、書目紀錄連結錯誤、書目紀錄整併錯誤、重複編目等。 4 編目成品之抽查，以單項作業項目為準，每月由機關就該項作業總筆數中抽查之，然後記錄其錯誤情形。 5 編目成品之錯誤率以書目紀錄之分欄為計量單位。凡同一筆書目紀錄中錯一分欄者，列計為一分，同一筆錯誤達五分者，則該筆即視為錯誤。 6 訂定成品錯誤率的抽查方式與錯誤率，例如錯誤率為百分之三，即設有一百筆書目紀錄當中，其錯誤率不得超過三筆。如經抽查綜合評分後，當月廠商該項作業之錯誤率達百分之三，即依當月該作業項目價款千分之十科罰之。 7 外包作業人員每人每月編目作業，其錯誤率亦不得超過該員當月作業總筆數的百分之三。如同一人超過百分之三，承包廠商須負再訓練之責，並以十個工作日為限，要求該員剋期改進。 8 同一作業人員錯誤率改進以兩次為限，若仍無法降低錯誤率至機關規定之比率（例如百分之三）者，則機關可提出更換適當人員之要求，承包廠商必須於十個工作日內遞補適當之其他編目人員。遞補人員之資格，必須符合契約書或招標規範之相關規定。 以上“條文6”，係針對外包廠商所為之科罰；“條文7”及“條文8”則係針對特定個人（即外包編目作業人員）促其改進作業之辦法，二者對象及處理方式並不相同，請特別注意之。"
"5","0000-00-00 00:00:00","22915","您好，請教DVD-ROM國圖是否有統一的中譯名稱？謝謝！","2010-01-01","DVD-ROM一詞，通常譯為數位影音光碟（唯讀記憶體），本館因非譯名之權責機關，故並無統一的中譯名稱。"
"6","0000-00-00 00:00:00","22916","請問什麼是“分置式目錄”？","2010-01-01","不知臺端所提之“分置式目錄”是否就是“分立式目錄”？若確是，僅就本人所知簡述如下：傳統圖書館目錄常依款目之性質分為題名目錄（書名目錄）、著者目錄（作者目錄）、主題目錄（標題目錄）及分類目錄4種。其中，前3種基本上都是依字詞為準加以組織的，惟組織時有兩種方式：一為分立式目錄，另一為混合式目錄。前者係將題名目錄（書名目錄）、著者目錄（作者目錄）、主題目錄（標題目錄）三者分別加以組織，並分別設目錄屜以庋藏之；後者則將三種目錄混合編排，並依某一特定之檢字方式（例如筆畫、音序、號碼等）組織之，因其編排方式類似於一般字典，故又稱字典式目錄。"
"7","0000-00-00 00:00:00","22917","原來6個分別獨立不同屬性單位的圖書館（室），有幾個分別位於不同地方（其他縣市），其中只有一個單位進行正規的編目作業，其餘的並無正式的編目人員，部分館室請義工簡編，部分館室由職員自建清單式Excel檔。今擬共同使用一個書目資料庫（即同一筆書目紀錄下分別掛館藏），是否可行？如屬可行，進行書目整合之際及其往後的維護作業，須注意哪些地方？國內是否有相同案例可資參考指引？請給予解答，以釋疑惑，謝謝！","2010-01-01","答案應是肯定的。至於國內是否有相同案例可資參考指引，本人並不了解。惟據知寶慶公司研發之天梭編目系統，具有將文字檔或Excel檔之編目紀錄轉成符合ISO 2709格式的功能，請 貴館或可向該公司或相關民間企業諮詢。"
"8","0000-00-00 00:00:00","22918","條碼及分類號標籤的貼法據知有一定格式，但我們未查獲明確的資料，所以煩請您們代為解答，謝謝！","2010-01-01","臺端提問文字中“分類號標籤”似應是“書標”吧？茲據此解答如下： 1 條碼：因橫排本（左揭書）及直排本（右揭書）而有不同黏貼的位置。本館通常是，橫排本貼於封面左上角靠近書背的右側；直排本貼於封底左上角也是靠近書背的右側。但在此特別指出的是，黏貼條碼時應注意應避免遮掉文字。 2 書標：通常黏貼於書背下端距書緣3公分，本館之做法為2.5公分。"
"9","0000-00-00 00:00:00","22919","最近閱讀文章時，文章中提及“三次文獻”就是所謂“書目的書目”，請問可否舉例說明它的意義。","2010-01-01","1 書目的書目（bibliography of bibliographies），係指收錄各種書目、索引等二次文獻的目錄，又稱書目指南或書目總錄，是一種典型的三次文獻。析而論之，一般目錄書收錄的對象是一般書，可視為一般書的書名清單；而“書目的書目”收錄的對象則是目錄書，可視為目錄書的書名清單。由於後者是查檢各種目錄書的工具，故稱“書目的書目”。 2 “書目的書目”始編制於晚清，主要有周星詔之《書目考》，周貞亮、李之鼎之《書目舉要》，邵瑞彭、閻樹善之《書目長編》等書。今人梁子涵編之《中國歷代書目總錄》，收錄目錄書凡1,600多種，是收錄較完備的書目總錄之一。"
"10","0000-00-00 00:00:00","22920","您好！本館期刊排架方式與一般圖書館不同，不是採刊名字順而是採分類索書號方式。分類索書號係由分類號及CODEN號組成，請教的是期刊之CODEN號該去何處查獲呢？謝謝！","2010-01-01","1 CODEN（期刊代碼）係期刊刊名縮寫組成之代碼，用以永久識別某一特定之刊物，與ISSN同為國際間識別期刊之兩大代碼系統。CODEN原為理工及醫學期刊而設計，代碼由6個大寫英文字母或數字組成。其中，前4碼通常取自刊名前4個字，以便記憶。第5碼係用以區分相似之刊名，兼具助記功能。最末一碼係檢查號碼，可用英文字母或數字表示。臺灣地區的中文期刊須先轉寫為羅馬字母後再行取碼。CODEN主要功能為便於期刊識別、書目資料儲存和檢索以及自動化管理。 2 請進入google搜尋網站（http://www.google.com.tw）首頁，在搜尋框內鍵入“CODEN”，後再按搜尋按鈕，即可查到International CODEN service網頁。進入該網頁，或可提供您所需之資料。， 3 附記：本解答內容，係依據本館羅金梅同事提供之資料編寫，特此誌謝！"
